Final table with combined global absolute abundance estimations from both datasets including functional annotations using cluster of orthologues groups (COG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protein Mass (fg) / Cell,,,,,,,,,,,,,,,,,,,,,
P46122,Uncharacterized lipoprotein yajI OS=Escherichia coli (strain K12) GN=yajI PE=1 SV=3,yajI,3,154.95,19530.11556,1,6.21E-03,4.58E-03,NA,2.93E-03,9.64E-04,5.86E-03,1.47E-03,3.47E-04,3.54E-03,1.03E-03,1.27E-04,1.41E-03,1.60E-03,3.11E-03,2.59E-03,3.02E-03,1.92E-03,NA,NA,1.00E-03,5.20E-04,NA
P0AAU7,Uncharacterized protein ybfE OS=Escherichia coli (strain K12) GN=ybfE PE=4 SV=2,ybfE,3,143.5,11255.02681,1,6.60E-04,4.29E-04,NA,1.49E-05,2.72E-04,1.24E-04,8.06E-05,1.85E-04,8.63E-05,4.48E-04,1.54E-05,6.03E-05,3.67E-06,3.00E-05,1.16E-04,9.02E-05,2.65E-04,NA,NA,1.65E-05,1.90E-04,NA
P0AB61,Protein yciN OS=Escherichia coli (strain K12) GN=yciN PE=1 SV=1,yciN,3,154.67,9361.79711,2,1.06E-02,3.26E-02,2.39E-02,7.80E-03,8.92E-03,1.46E-02,1.22E-02,9.55E-03,7.87E-03,7.18E-03,6.31E-03,6.17E-03,7.30E-03,4.08E-03,2.53E-02,2.09E-02,1.72E-02,1.42E-02,1.00E-02,1.05E-02,1.08E-02,1.50E-02
P76220,Uncharacterized protein ydjY OS=Escherichia coli (strain K12) GN=ydjY PE=4 SV=2,ydjY,3,95.67,24091.94259,2,5.36E-05,5.97E-05,7.05E-05,1.11E-04,7.87E-05,5.54E-05,8.32E-05,1.42E-04,1.18E-04,4.72E-05,2.63E-05,3.18E-05,3.35E-04,1.76E-04,3.53E-05,1.81E-04,1.67E-04,8.85E-05,8.73E-05,2.70E-05,8.26E-05,1.19E-04
P64499,Uncharacterized protein yebO OS=Escherichia coli (strain K12) GN=yebO PE=4 SV=1,yebO,3,193.11,10767.76726,2,7.88E-03,6.26E-03,6.43E-03,6.06E-04,1.29E-03,2.24E-03,1.88E-03,1.22E-03,1.54E-03,2.81E-04,2.13E-04,2.04E-04,8.44E-05,2.59E-05,4.41E-03,3.46E-03,2.10E-03,4.40E-03,1.51E-03,6.51E-04,2.06E-03,4.81E-03
P64503,Uncharacterized protein yebV OS=Escherichia coli (strain K12) GN=yebV PE=4 SV=1,yebV,3,313.53,8729.18209,2,1.98E-02,1.11E-02,2.42E-02,5.15E-02,3.35E-02,3.27E-02,2.58E-02,2.91E-02,2.11E-02,2.75E-02,2.66E-02,3.41E-02,1.06E-02,1.15E-02,6.69E-02,1.74E-02,9.39E-02,2.88E-02,2.65E-02,2.98E-02,1.97E-02,2.14E-02
P64506,Uncharacterized protein yebY OS=Escherichia coli (strain K12) GN=yebY PE=4 SV=1,yebY,3,184.15,12352.45278,2,2.86E-02,3.12E-02,2.16E-02,1.01E-02,8.96E-03,9.37E-03,1.23E-02,1.36E-02,8.75E-03,5.16E-03,4.70E-03,4.10E-03,5.81E-03,1.61E-02,3.15E-02,2.88E-02,2.62E-02,1.11E-02,9.49E-03,6.08E-03,1.03E-02,1.62E-02
P76550,Uncharacterized protein yffS OS=Escherichia coli (strain K12) GN=yffS PE=4 SV=2,yffS,3,208.5,29714.05213,2,2.28E-03,4.83E-03,3.01E-03,1.93E-03,2.50E-03,3.05E-03,2.46E-03,2.52E-03,1.96E-03,1.94E-03,1.74E-03,1.72E-03,1.89E-03,7.91E-04,2.04E-03,3.29E-03,1.63E-03,2.25E-03,2.27E-03,2.18E-03,1.95E-03,2.47E-03
P0AD53,Uncharacterized protein ygaC OS=Escherichia coli (strain K12) GN=ygaC PE=4 SV=1,ygaC,3,111.58,13039.60464,1,7.08E-04,8.27E-04,NA,2.20E-04,1.16E-03,8.32E-04,3.73E-04,1.93E-04,7.04E-04,1.43E-04,6.43E-04,1.83E-04,4.86E-04,3.86E-04,8.92E-04,6.37E-04,1.43E-03,NA,NA,2.13E-04,2.40E-04,NA
P64574,Uncharacterized protein yghW OS=Escherichia coli (strain K12) GN=yghW PE=4 SV=1,yghW,3,114.09,10920.27408,1,1.33E-05,1.71E-05,NA,4.49E-07,6.79E-06,3.89E-06,3.44E-05,2.25E-06,2.96E-04,3.56E-04,2.48E-04,2.86E-05,8.39E-05,4.44E-05,8.13E-05,4.04E-05,2.18E-05,NA,NA,5.14E-06,3.50E-06,NA
P0AF70,Uncharacterized protein yjeI OS=Escherichia coli (strain K12) GN=yjeI PE=4 SV=1,yjeI,3,229.67,11932.74185,2,1.63E-02,3.39E-02,4.49E-02,2.16E-02,2.31E-02,3.82E-02,2.39E-02,2.41E-02,6.85E-02,6.98E-02,6.83E-02,5.22E-02,4.06E-02,4.25E-02,7.83E-02,2.59E-02,3.57E-02,3.62E-02,1.29E-02,2.63E-02,1.96E-02,1.73E-02
P0AAS0,Inner membrane protein ylaC OS=Escherichia coli (strain K12) GN=ylaC PE=1 SV=2,ylaC,3,288.23,18237.49967,2,4.39E-03,4.64E-02,1.53E-02,1.60E-03,2.64E-03,8.82E-03,1.98E-03,2.01E-03,1.79E-03,9.93E-04,6.48E-04,9.25E-04,6.06E-05,3.17E-05,1.17E-03,7.52E-04,2.49E-03,2.00E-03,1.93E-03,1.94E-03,2.52E-03,2.20E-03
P0AB46,Uncharacterized protein ymgD OS=Escherichia coli (strain K12) GN=ymgD PE=4 SV=2,ymgD,3,82.72,11826.0528,1,8.45E-05,2.13E-04,NA,5.36E-05,7.99E-05,2.10E-04,9.24E-06,3.34E-04,1.65E-05,2.55E-04,2.23E-04,2.73E-05,2.08E-03,3.70E-03,3.21E-04,2.29E-04,5.40E-05,NA,NA,9.79E-06,9.33E-06,NA
P76170,UPF0482 protein ynfB OS=Escherichia coli (strain K12) GN=ynfB PE=1 SV=1,ynfB,3,115.76,12882.61936,2,9.82E-03,1.24E-02,1.18E-02,7.61E-03,9.98E-03,1.10E-02,1.16E-02,1.13E-02,8.04E-03,8.21E-03,8.15E-03,8.65E-03,1.12E-02,9.32E-03,1.69E-02,2.21E-02,1.63E-02,1.22E-02,7.97E-03,1.15E-02,9.53E-03,1.15E-02
P64519,Uncharacterized protein yodD OS=Escherichia coli (strain K12) GN=yodD PE=4 SV=1,yodD,3,220.61,8556.08638,2,1.18E-03,1.76E-03,7.40E-04,1.13E-03,1.17E-03,1.20E-03,1.12E-03,6.10E-04,1.07E-03,1.22E-03,1.15E-03,2.33E-03,1.26E-02,1.17E-02,3.38E-03,2.39E-03,2.47E-03,1.53E-03,1.09E-03,1.28E-03,1.49E-03,8.53E-04
P64564,Uncharacterized protein yggT OS=Escherichia coli (strain K12) GN=yggT PE=3 SV=1,yggT,3,141.77,21134.83764,2,7.45E-03,9.81E-03,7.11E-03,4.73E-03,6.20E-03,7.15E-03,8.38E-03,9.53E-03,1.11E-02,8.54E-03,8.26E-03,6.69E-03,3.87E-03,4.04E-03,4.94E-03,1.10E-02,5.53E-03,9.33E-03,8.80E-03,4.78E-03,6.24E-03,1.25E-02
P46118,HTH-type transcriptional regulator hexR OS=Escherichia coli (strain K12) GN=hexR PE=3 SV=2,hexR,3,160.02,31937.35128,2,1.31E-03,4.99E-03,4.96E-03,1.74E-03,2.98E-03,3.85E-03,4.13E-03,4.09E-03,4.00E-03,4.69E-03,3.23E-03,2.78E-03,1.71E-03,5.57E-04,3.95E-04,7.04E-04,5.44E-04,2.61E-03,4.36E-03,2.71E-03,3.45E-03,3.73E-03
P45530,Protein tusB OS=Escherichia coli (strain K12) GN=tusB PE=1 SV=1,tusB,3,193.98,10693.64124,1,3.27E-03,3.53E-03,NA,2.17E-03,1.88E-03,3.22E-03,1.68E-03,2.40E-03,2.70E-03,3.21E-03,3.06E-03,2.31E-03,3.13E-03,3.03E-03,2.66E-03,3.17E-03,3.54E-03,NA,NA,1.64E-03,2.13E-03,NA
P60472,Undecaprenyl pyrophosphate synthase OS=Escherichia coli (strain K12) GN=uppS PE=1 SV=1,uppS,3,121.25,28408.39075,1,1.48E-03,5.59E-03,NA,4.97E-04,2.60E-04,1.25E-03,1.23E-03,5.19E-04,5.76E-04,1.00E-03,1.38E-03,2.03E-04,2.93E-04,7.00E-05,8.18E-04,5.85E-04,1.06E-03,NA,NA,2.15E-04,1.06E-03,NA
P31545,Peroxidase ycdB OS=Escherichia coli (strain K12) GN=ycdB PE=1 SV=2,ycdB,3,105.91,46706.90191,1,8.10E-04,1.97E-04,NA,2.64E-05,4.26E-04,1.09E-04,7.89E-05,9.73E-05,1.65E-04,5.54E-07,5.90E-04,1.24E-05,5.94E-04,1.19E-04,5.95E-05,6.24E-05,9.29E-04,NA,NA,3.80E-05,4.97E-05,NA
P76507,Uncharacterized protein yfdI OS=Escherichia coli (strain K12) GN=yfdI PE=4 SV=1,yfdI,3,191.31,51431.83983,2,9.71E-03,2.66E-02,1.63E-02,3.46E-03,6.03E-03,8.80E-03,6.01E-03,4.66E-03,1.37E-02,1.03E-02,7.37E-03,3.49E-03,2.29E-03,1.97E-03,4.51E-03,4.30E-03,3.66E-03,4.91E-03,3.51E-03,2.24E-03,3.64E-03,6.87E-03
P37340,Multidrug resistance protein mdtK OS=Escherichia coli (strain K12) GN=mdtK PE=1 SV=2,mdtK,2,65.33,49396.50795,2,6.27E-04,1.29E-03,7.83E-04,3.11E-04,1.67E-04,1.12E-03,8.87E-04,3.79E-04,1.35E-03,8.56E-04,8.47E-04,8.59E-04,1.75E-03,1.04E-03,1.34E-03,8.87E-04,1.67E-03,9.80E-04,4.90E-04,2.97E-04,5.82E-04,9.66E-04
P75820,N-acetylmuramoyl-L-alanine amidase AmiD OS=Escherichia coli (strain K12) GN=amiD PE=1 SV=1,amiD,2,66.89,31035.06186,2,2.80E-03,3.01E-03,3.27E-03,2.58E-03,2.43E-03,2.58E-03,2.41E-03,2.19E-03,2.09E-03,2.74E-03,2.02E-03,2.26E-03,2.72E-03,3.46E-03,3.51E-03,2.00E-03,2.69E-03,2.04E-03,2.38E-03,3.01E-03,2.11E-03,1.51E-03
P0ABV6,Protein tolR OS=Escherichia coli (strain K12) GN=tolR PE=1 SV=1,tolR,2,80.73,15355.37553,2,4.43E-03,5.51E-03,2.16E-03,1.46E-03,2.42E-03,3.42E-03,2.70E-03,2.85E-03,2.43E-03,1.54E-03,1.21E-03,1.07E-03,2.82E-03,3.11E-03,3.87E-03,7.15E-03,5.47E-03,3.87E-03,2.64E-03,1.69E-03,2.52E-03,4.56E-03
P0ADZ7,UPF0092 membrane protein yajC OS=Escherichia coli (strain K12) GN=yajC PE=1 SV=1,yajC,2,77.83,11861.4007,2,9.89E-02,1.47E-01,1.58E-01,5.65E-02,8.97E-02,1.08E-01,1.06E-01,1.13E-01,6.45E-02,5.89E-02,5.59E-02,4.88E-02,4.72E-02,4.30E-02,8.71E-02,1.04E-01,8.18E-02,9.99E-02,8.37E-02,6.97E-02,9.04E-02,1.06E-01
P31600,Bacteriophage N4 adsorption protein A OS=Escherichia coli (strain K12) GN=nfrA PE=4 SV=1,nfrA,2,49.63,111221.5585,1,6.70E-05,1.07E-04,NA,1.50E-05,0.00E+00,1.81E-05,3.25E-06,2.37E-05,3.56E-05,4.56E-06,1.10E-04,1.80E-04,1.03E-05,8.36E-05,5.59E-05,2.81E-05,9.40E-05,NA,NA,6.93E-08,4.92E-06,NA
P30847,Signal transduction histidine-protein kinase BaeS OS=Escherichia coli (strain K12) GN=baeS PE=3 SV=2,baeS,2,90.99,51941.16903,2,7.91E-04,1.26E-03,7.32E-04,1.76E-03,1.22E-03,1.03E-03,1.34E-03,8.94E-04,1.10E-03,1.10E-03,8.60E-04,9.52E-04,4.72E-04,4.80E-04,6.39E-04,1.99E-03,8.03E-04,1.12E-03,1.36E-03,7.59E-04,1.13E-03,1.50E-03
P0ABE2,Protein BolA OS=Escherichia coli (strain K12) GN=bolA PE=1 SV=1,bolA,2,165.66,11968.08703,2,5.55E-03,1.48E-02,5.80E-03,2.81E-03,3.62E-03,4.01E-03,4.56E-03,2.46E-03,4.00E-03,3.51E-03,2.76E-03,2.63E-03,8.89E-03,7.95E-03,5.47E-03,9.85E-03,4.81E-03,4.23E-03,2.72E-03,2.95E-03,2.40E-03,3.29E-03
P0AE67,Chemotaxis protein CheY OS=Escherichia coli (strain K12) GN=cheY PE=1 SV=2,cheY,2,132.52,14070.27599,2,6.50E-04,4.76E-04,1.98E-03,4.90E-04,8.27E-04,3.17E-03,5.01E-04,4.01E-04,3.17E-03,8.62E-03,2.68E-03,5.19E-04,5.22E-04,1.02E-04,1.03E-03,6.23E-04,1.14E-03,6.31E-04,9.84E-04,5.55E-04,1.01E-03,9.09E-04
P21865,Sensor protein kdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2,kdpD,2,192.93,98638.9449,2,4.66E-04,2.90E-04,2.05E-04,3.54E-04,3.61E-04,3.48E-04,4.41E-04,5.61E-04,7.40E-04,6.78E-04,9.48E-04,9.83E-04,1.10E-04,2.57E-04,5.51E-04,8.13E-04,6.15E-04,7.12E-04,6.20E-04,4.89E-04,3.37E-04,6.74E-04
P23837,Sensor protein phoQ OS=Escherichia coli (strain K12) GN=phoQ PE=1 SV=1,phoQ,2,76.32,55246.81346,2,1.11E-03,2.90E-03,1.31E-03,1.35E-03,1.32E-03,1.87E-03,1.36E-03,1.71E-03,1.63E-03,2.06E-03,1.93E-03,2.09E-03,4.50E-04,5.94E-04,7.92E-04,1.09E-03,1.02E-03,1.42E-03,2.04E-03,1.30E-03,2.19E-03,2.01E-03
Q06065,Acetoacetate metabolism regulatory protein AtoC OS=Escherichia coli (strain K12) GN=atoC PE=3 SV=2,atoC,2,108.29,52125.18557,2,1.79E-04,9.96E-04,6.96E-04,6.78E-04,5.80E-04,2.80E-04,4.62E-04,3.99E-04,1.07E-03,1.51E-03,1.53E-03,1.43E-03,2.84E-05,7.64E-05,1.79E-04,4.57E-04,3.84E-04,4.62E-04,4.86E-04,2.40E-04,5.44E-04,4.48E-04
P0AE72,Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1,mazE,2,93.21,9331.88444,1,4.63E-04,6.77E-04,NA,3.41E-04,5.10E-04,4.52E-04,2.08E-04,2.26E-04,4.76E-04,2.23E-04,3.07E-04,3.42E-04,7.70E-04,7.44E-04,3.45E-04,3.94E-04,5.39E-04,NA,NA,2.55E-04,4.08E-04,NA
P0AEV1,Protein hnr OS=Escherichia coli (strain K12) GN=hnr PE=1 SV=1,rssB,2,150.97,37260.50082,2,8.33E-04,2.99E-04,2.26E-04,6.97E-04,8.24E-04,1.07E-03,8.86E-04,6.50E-04,6.11E-04,6.75E-04,6.57E-04,5.61E-04,4.13E-04,4.31E-04,7.33E-04,1.10E-03,1.45E-03,7.87E-04,9.29E-04,1.26E-03,1.04E-03,7.59E-04
P30843,Transcriptional regulatory protein BasR OS=Escherichia coli (strain K12) GN=basR PE=2 SV=3,basR,2,83.85,24997.14381,2,5.57E-04,8.77E-04,4.39E-04,5.00E-04,1.38E-03,5.39E-04,1.77E-03,1.12E-03,7.96E-04,9.71E-04,9.37E-04,1.33E-03,4.01E-04,3.52E-04,3.13E-04,4.70E-04,6.30E-04,1.01E-03,1.01E-03,1.86E-03,8.71E-04,7.12E-04
P0AGA6,Transcriptional regulatory protein uhpA OS=Escherichia coli (strain K12) GN=uhpA PE=1 SV=1,uhpA,2,230.32,20857.9082,2,1.37E-03,2.15E-03,1.53E-03,1.40E-03,1.24E-03,1.24E-03,1.29E-03,1.12E-03,1.01E-03,9.50E-04,8.83E-04,7.34E-04,1.08E-04,7.67E-05,1.33E-03,9.11E-04,5.81E-04,1.03E-03,1.17E-03,9.10E-04,2.13E-04,7.96E-04
P76330,Probable diguanylate cyclase YedQ OS=Escherichia coli (strain K12) GN=yedQ PE=2 SV=2,yedQ,2,40.22,64224.80085,2,7.01E-04,1.21E-03,7.50E-04,1.34E-03,7.62E-04,9.78E-04,6.45E-04,6.78E-04,1.59E-03,1.92E-03,1.67E-03,1.84E-03,1.04E-03,1.06E-03,6.48E-04,1.01E-03,8.01E-04,1.07E-03,1.18E-03,8.33E-04,1.41E-03,2.20E-03
P37649,Protein YhjK OS=Escherichia coli (strain K12) GN=yhjK PE=1 SV=3,yhjK,2,66.32,74315.39691,2,3.71E-04,5.07E-04,4.96E-04,4.80E-04,5.06E-04,6.30E-04,3.84E-04,6.57E-04,1.19E-03,1.09E-03,9.87E-04,1.39E-03,4.32E-04,5.83E-04,4.23E-04,6.30E-04,3.49E-04,7.99E-05,5.01E-04,5.88E-04,5.84E-04,3.49E-04
P0AE91,Protein CreA OS=Escherichia coli (strain K12) GN=creA PE=4 SV=1,creA,2,105.04,17079.02378,2,6.96E-03,1.26E-02,9.82E-03,3.94E-03,5.10E-03,5.15E-03,5.94E-03,5.68E-03,6.72E-03,6.68E-03,5.47E-03,6.88E-03,4.86E-03,4.83E-03,7.68E-03,1.28E-02,7.00E-03,6.11E-03,5.18E-03,6.05E-03,5.53E-03,6.93E-03
P09549,Protein dedD OS=Escherichia coli (strain K12) GN=dedD PE=4 SV=2,dedD,2,71.68,22906.23661,2,1.51E-03,3.20E-03,2.39E-03,7.82E-04,1.13E-03,1.55E-03,1.34E-03,1.29E-03,1.13E-03,9.06E-04,1.03E-03,1.02E-03,3.11E-04,4.36E-05,1.41E-03,2.12E-03,1.29E-03,7.85E-04,1.08E-03,1.37E-03,1.10E-03,1.14E-03
P16681,Protein phnB OS=Escherichia coli (strain K12) GN=phnB PE=1 SV=1,phnB,2,129.08,16142.71835,2,7.26E-04,9.85E-04,7.58E-04,1.24E-03,1.28E-03,1.94E-03,8.72E-04,7.56E-04,6.28E-04,9.05E-04,1.43E-03,2.12E-03,1.83E-03,4.27E-03,8.45E-04,3.93E-04,1.62E-03,4.97E-04,8.22E-04,2.69E-03,5.34E-04,3.94E-04
P0A8R4,Protein slyX OS=Escherichia coli (strain K12) GN=slyX PE=3 SV=1,slyX,2,102.03,8191.18194,2,3.83E-03,6.13E-03,3.57E-03,1.77E-03,3.33E-03,2.33E-03,3.18E-03,3.41E-03,2.36E-03,1.98E-03,1.23E-03,1.08E-03,1.34E-03,1.51E-03,2.92E-03,4.23E-03,2.29E-03,1.93E-03,1.80E-03,1.95E-03,2.49E-03,1.49E-03
P0AA99,"Putative L,D-transpeptidase YafK OS=Escherichia coli (strain K12) GN=yafK PE=3 SV=1",yafK,2,76.02,27985.12231,2,3.74E-03,6.94E-04,6.83E-04,1.02E-03,1.50E-03,1.89E-03,2.36E-03,2.24E-03,1.81E-03,1.21E-03,8.66E-04,2.72E-04,9.89E-04,6.59E-04,1.24E-03,3.16E-03,1.04E-03,4.26E-03,3.00E-03,1.40E-03,2.23E-03,3.66E-03
P0C037,UPF0345 protein yaiE OS=Escherichia coli (strain K12) GN=yaiE PE=3 SV=1,yaiE,2,111.61,10209.86884,2,2.28E-02,1.62E-02,2.40E-02,9.43E-03,2.17E-02,2.32E-02,3.00E-02,2.29E-02,2.08E-02,1.87E-02,1.67E-02,1.16E-02,1.82E-02,1.32E-02,2.83E-02,1.35E-02,1.80E-02,2.77E-02,2.23E-02,1.70E-02,1.73E-02,2.64E-02
P75829,Uncharacterized protein ybjX OS=Escherichia coli (strain K12) GN=ybjX PE=4 SV=1,ybjX,2,110.37,38314.69249,2,1.70E-04,1.38E-03,5.07E-04,9.06E-05,1.54E-04,1.40E-04,1.39E-04,5.69E-05,8.59E-05,1.96E-04,7.05E-05,8.71E-05,3.10E-06,2.93E-06,2.65E-05,2.26E-05,5.50E-05,3.45E-05,4.38E-05,2.13E-05,9.98E-05,9.65E-05
P0AB12,Inner membrane protein yccF OS=Escherichia coli (strain K12) GN=yccF PE=1 SV=1,yccF,2,60.18,16246.8707,2,7.22E-03,1.46E-02,8.30E-03,2.24E-03,4.14E-03,7.10E-03,6.16E-03,3.32E-03,1.06E-02,8.95E-03,7.62E-03,8.44E-03,4.38E-03,3.39E-03,6.93E-03,9.21E-03,8.50E-03,7.97E-03,4.10E-03,3.91E-03,5.27E-03,9.21E-03
P75954,"Probable L,D-transpeptidase YcfS OS=Escherichia coli (strain K12) GN=ycfS PE=1 SV=1",ycfS,2,122.98,34596.11664,2,1.16E-03,1.42E-03,3.26E-03,7.14E-04,1.80E-03,3.14E-04,2.42E-03,2.00E-03,1.61E-04,1.72E-04,6.10E-05,7.00E-05,3.39E-06,9.15E-06,2.76E-05,5.61E-05,9.61E-05,5.09E-05,1.35E-03,7.72E-05,1.83E-03,3.96E-04
P29013,Uncharacterized protein ycgB OS=Escherichia coli (strain K12) GN=ycgB PE=4 SV=2,ycgB,2,127.37,60756.97139,2,4.71E-04,3.60E-03,6.27E-04,8.14E-04,9.71E-04,7.86E-04,1.10E-03,5.34E-04,7.59E-04,8.65E-04,1.35E-03,1.71E-03,8.35E-04,6.45E-04,6.45E-04,5.49E-04,1.74E-03,6.69E-04,7.19E-04,9.36E-04,6.71E-04,5.69E-04
P0ACW6,Uncharacterized protein ydcH OS=Escherichia coli (strain K12) GN=ydcH PE=4 SV=2,ydcH,2,81.41,8854.61993,2,1.11E-05,6.50E-04,3.20E-05,6.02E-04,1.81E-04,2.14E-05,8.80E-05,7.97E-05,9.78E-05,2.15E-04,4.93E-04,1.34E-04,3.40E-04,7.49E-04,3.21E-05,4.16E-05,8.69E-06,1.24E-04,2.72E-04,3.11E-04,2.56E-04,1.76E-04
P0ACY9,Uncharacterized protein yebG OS=Escherichia coli (strain K12) GN=yebG PE=4 SV=1,yebG,2,72.07,10692.27498,2,5.26E-03,1.48E-02,1.30E-02,1.42E-03,2.32E-03,4.49E-03,3.72E-03,3.56E-03,2.80E-03,1.93E-03,1.11E-03,4.14E-04,4.76E-05,8.00E-05,3.32E-03,5.64E-03,1.39E-03,3.06E-03,2.52E-03,8.59E-04,2.68E-03,3.16E-03
P0A8B2,UPF0115 protein yfcN OS=Escherichia coli (strain K12) GN=yfcN PE=3 SV=1,yfcN,2,97.99,20981.98037,2,2.59E-03,2.41E-03,2.64E-03,1.52E-03,2.02E-03,2.06E-03,2.07E-03,2.16E-03,2.06E-03,1.59E-03,1.50E-03,1.16E-03,3.88E-04,1.47E-03,3.73E-03,2.76E-03,2.52E-03,2.92E-03,1.76E-03,8.67E-04,1.93E-03,2.16E-03
P0ADQ7,Uncharacterized protein ygaM OS=Escherichia coli (strain K12) GN=ygaM PE=4 SV=1,ygaM,2,116.95,12262.07752,2,1.02E-02,1.08E-02,1.19E-02,1.82E-02,2.16E-02,1.28E-02,1.38E-02,8.72E-03,2.54E-02,2.33E-02,2.84E-02,2.28E-02,2.50E-02,1.56E-02,3.40E-02,9.63E-03,2.96E-02,9.40E-03,1.28E-02,3.14E-02,9.51E-03,9.25E-03
P37642,Inner membrane protein yhjD OS=Escherichia coli (strain K12) GN=yhjD PE=1 SV=1,yhjD,2,99.44,37869.22146,2,1.58E-03,3.38E-03,1.57E-03,1.30E-03,1.70E-03,2.23E-03,1.67E-03,1.16E-03,2.23E-03,1.55E-03,2.35E-03,3.22E-03,1.06E-03,2.38E-03,5.16E-03,3.43E-03,6.17E-03,2.40E-03,2.74E-03,3.03E-03,2.23E-03,3.74E-03
P0ACC3,Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1,erpA,2,110.04,12074.75582,2,7.23E-02,7.73E-02,9.67E-02,3.59E-02,5.42E-02,5.10E-02,6.94E-02,5.67E-02,4.39E-02,3.39E-02,2.36E-02,1.99E-02,7.83E-03,7.57E-03,4.61E-02,8.49E-02,5.52E-02,6.27E-02,5.92E-02,4.29E-02,7.23E-02,7.77E-02
P64461,Autoinducer 2-degrading protein lsrG OS=Escherichia coli (strain K12) GN=lsrG PE=1 SV=1,lsrG,2,73.7,11229.62576,2,7.25E-05,4.86E-05,2.53E-05,1.56E-04,5.28E-04,2.79E-05,6.31E-05,4.27E-05,5.56E-05,4.70E-05,2.28E-04,4.01E-04,2.97E-05,1.11E-04,4.16E-05,1.16E-04,3.44E-04,1.53E-04,3.44E-05,2.48E-04,1.29E-04,1.78E-04
P39371,N-acetylneuraminate epimerase OS=Escherichia coli (strain K12) GN=nanM PE=1 SV=2,nanM,2,67.19,39529.6386,1,4.30E-04,2.59E-03,NA,8.39E-04,2.14E-04,1.64E-04,5.07E-04,5.51E-04,9.55E-04,1.49E-03,1.65E-03,1.87E-03,3.99E-03,1.34E-03,5.41E-04,4.24E-04,1.09E-03,NA,NA,1.13E-03,2.45E-04,NA
P0AF90,Regulator of ribonuclease activity B OS=Escherichia coli (strain K12) GN=rraB PE=1 SV=1,rraB,2,130.25,15575.03289,2,5.02E-02,4.93E-02,6.31E-02,5.24E-02,4.80E-02,5.08E-02,4.18E-02,4.15E-02,6.34E-02,4.93E-02,4.15E-02,3.67E-02,6.85E-02,6.43E-02,7.91E-02,4.92E-02,9.24E-02,5.76E-02,3.88E-02,3.23E-02,3.76E-02,5.29E-02
P77667,Protein sufA OS=Escherichia coli (strain K12) GN=sufA PE=1 SV=1,sufA,2,106.76,13273.47858,2,8.72E-03,7.57E-03,8.50E-03,4.49E-03,3.36E-03,4.33E-03,4.78E-03,4.22E-03,5.37E-03,3.17E-03,2.76E-03,1.73E-03,3.15E-03,2.24E-03,2.23E-02,7.74E-03,6.09E-03,9.87E-03,3.72E-03,2.74E-03,3.04E-03,4.62E-03
P0A8E5,UPF0231 protein yacL OS=Escherichia coli (strain K12) GN=yacL PE=3 SV=1,yacL,2,116.33,13914.52935,1,3.94E-03,5.82E-03,NA,2.90E-03,2.68E-03,4.44E-03,2.20E-03,2.13E-03,3.02E-03,2.41E-03,2.55E-03,2.37E-03,8.71E-03,1.00E-02,2.17E-03,3.21E-03,3.01E-03,NA,NA,2.12E-03,2.40E-03,NA
P0AAQ6,Uncharacterized protein ybaA OS=Escherichia coli (strain K12) GN=ybaA PE=4 SV=1,ybaA,2,134.3,13291.44106,1,1.66E-03,1.72E-03,NA,6.16E-04,1.52E-03,3.66E-03,7.93E-04,5.74E-04,9.33E-04,4.54E-04,3.40E-04,1.18E-03,5.85E-03,7.29E-03,1.11E-03,2.88E-03,1.82E-03,NA,NA,1.23E-03,3.60E-04,NA
P0AAT2,Uncharacterized protein ybdF OS=Escherichia coli (strain K12) GN=ybdF PE=4 SV=1,ybdF,2,83.22,14023.377,1,4.11E-03,1.24E-03,NA,1.10E-03,1.30E-03,1.13E-03,1.20E-03,3.58E-04,1.13E-03,3.51E-04,7.60E-05,1.30E-03,1.91E-03,1.76E-03,1.09E-03,1.68E-03,1.37E-03,NA,NA,5.91E-04,7.62E-04,NA
P0A8L7,UPF0263 protein yciU OS=Escherichia coli (strain K12) GN=yciU PE=1 SV=1,yciU,2,98.1,12661.01422,1,2.95E-03,2.87E-03,NA,1.93E-03,1.77E-03,2.37E-03,1.73E-03,1.17E-03,1.30E-03,2.61E-03,8.58E-04,4.71E-04,8.46E-05,4.50E-04,1.42E-03,1.29E-03,5.17E-04,NA,NA,1.36E-03,4.08E-03,NA
P0AB10,Uncharacterized lipoprotein ymbA OS=Escherichia coli (strain K12) GN=ymbA PE=4 SV=2,ymbA,2,79.33,20603.63296,2,2.89E-03,4.83E-03,3.99E-03,2.06E-03,2.30E-03,2.68E-03,2.08E-03,1.83E-03,1.66E-03,1.75E-03,2.12E-03,1.96E-03,1.46E-03,1.93E-03,2.68E-03,2.71E-03,3.62E-03,1.47E-03,1.71E-03,1.57E-03,2.20E-03,1.90E-03
